"Story","Title","Result","Date","Stability","Duration (s)"
"Manage Online Class","View detail online classes","SUCCESS","2022-07-01T20:13:26.3572905+07:00[Asia/Bangkok]","0.0","10.67"
"Manage Online Class","Using cancel button on view online classes","SUCCESS","2022-07-01T20:13:37.0453295+07:00[Asia/Bangkok]","0.0","11.28"
"Manage Online Class","Add data online class","SUCCESS","2022-07-01T20:13:48.3418258+07:00[Asia/Bangkok]","0.0","7.66"
"Manage Online Class","Edit data online class","SUCCESS","2022-07-01T20:13:56.0155169+07:00[Asia/Bangkok]","0.0","8.25"
"Manage Online Class","Delete data online class","SUCCESS","2022-07-01T20:14:04.2796583+07:00[Asia/Bangkok]","0.0","5.94"
"Manage Online Class","Using cancel button on edit delete pop up","SUCCESS","2022-07-01T20:14:10.2425022+07:00[Asia/Bangkok]","0.0","11.42"
"Manage Online Class","Using cancel button on add online class","SUCCESS","2022-07-01T20:14:21.6742862+07:00[Asia/Bangkok]","0.0","5.85"
