"Story","Title","Result","Date","Stability","Duration (s)"
"Regression Testing of All Feature","Login - Update Password - Logout","ERROR","2022-07-08T19:29:11.2652603+07:00[Asia/Bangkok]","0.0","79.64"
"Regression Testing of All Feature","Login after update password","ERROR","2022-07-08T19:30:30.9490229+07:00[Asia/Bangkok]","0.0","58.56"
