"Story","Title","Result","Date","Stability","Duration (s)"
"HomePage","See all class","SUCCESS","2022-07-16T01:30:25.982801+07:00[Asia/Bangkok]","0.0","92.59"
"HomePage","View detail class","SUCCESS","2022-07-16T01:31:58.607105+07:00[Asia/Bangkok]","0.0","598.63"
"HomePage","Booking Class","SUCCESS","2022-07-16T01:41:57.2537764+07:00[Asia/Bangkok]","0.0","131.26"
"HomePage","Tips For You","SUCCESS","2022-07-16T01:44:08.5282901+07:00[Asia/Bangkok]","0.0","100.31"
"HomePage","Make a Payment","SUCCESS","2022-07-16T01:45:48.8588568+07:00[Asia/Bangkok]","0.0","47.5"
